,Unnamed: 0,state,article_title,url,article_quality,revision_id,state_population,region,regional_division,region_population
0,0,Alabama,"Abbeville, Alabama","https://en.wikipedia.org/wiki/Abbeville,_Alabama",C,1171163550,5074296,South,East South Central,19578002
1,1,Alabama,"Adamsville, Alabama","https://en.wikipedia.org/wiki/Adamsville,_Alabama",C,1177621427,5074296,South,East South Central,19578002
2,2,Alabama,"Addison, Alabama","https://en.wikipedia.org/wiki/Addison,_Alabama",C,1168359898,5074296,South,East South Central,19578002
3,3,Alabama,"Akron, Alabama","https://en.wikipedia.org/wiki/Akron,_Alabama",GA,1165909508,5074296,South,East South Central,19578002
4,4,Alabama,"Alabaster, Alabama","https://en.wikipedia.org/wiki/Alabaster,_Alabama",C,1179139816,5074296,South,East South Central,19578002
5,5,Alabama,"Albertville, Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama",C,1179198677,5074296,South,East South Central,19578002
6,6,Alabama,"Alexander City, Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama",GA,1179140073,5074296,South,East South Central,19578002
7,7,Alabama,"Aliceville, Alabama","https://en.wikipedia.org/wiki/Aliceville,_Alabama",GA,1167792390,5074296,South,East South Central,19578002
8,8,Alabama,"Allgood, Alabama","https://en.wikipedia.org/wiki/Allgood,_Alabama",C,1165909718,5074296,South,East South Central,19578002
9,9,Alabama,"Altoona, Alabama","https://en.wikipedia.org/wiki/Altoona,_Alabama",C,1165909823,5074296,South,East South Central,19578002
10,10,Alabama,"Andalusia, Alabama","https://en.wikipedia.org/wiki/Andalusia,_Alabama",C,1179141586,5074296,South,East South Central,19578002
11,11,Alabama,"Anderson, Lauderdale County, Alabama","https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama",Stub,662691565,5074296,South,East South Central,19578002
12,12,Alabama,"Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama",C,1176049382,5074296,South,East South Central,19578002
13,13,Alabama,"Arab, Alabama","https://en.wikipedia.org/wiki/Arab,_Alabama",C,1171375371,5074296,South,East South Central,19578002
14,14,Alabama,"Ardmore, Alabama","https://en.wikipedia.org/wiki/Ardmore,_Alabama",GA,1176903479,5074296,South,East South Central,19578002
15,15,Alabama,"Argo, Alabama","https://en.wikipedia.org/wiki/Argo,_Alabama",C,1177623964,5074296,South,East South Central,19578002
16,16,Alabama,"Ariton, Alabama","https://en.wikipedia.org/wiki/Ariton,_Alabama",C,1166014478,5074296,South,East South Central,19578002
17,17,Alabama,"Arley, Alabama","https://en.wikipedia.org/wiki/Arley,_Alabama",C,1166014498,5074296,South,East South Central,19578002
18,18,Alabama,"Ashford, Alabama","https://en.wikipedia.org/wiki/Ashford,_Alabama",C,1166014593,5074296,South,East South Central,19578002
19,19,Alabama,"Ashland, Alabama","https://en.wikipedia.org/wiki/Ashland,_Alabama",C,1174331705,5074296,South,East South Central,19578002
20,20,Alabama,"Ashville, Alabama","https://en.wikipedia.org/wiki/Ashville,_Alabama",C,1148844011,5074296,South,East South Central,19578002
21,21,Alabama,"Athens, Alabama","https://en.wikipedia.org/wiki/Athens,_Alabama",C,1175308807,5074296,South,East South Central,19578002
22,22,Alabama,"Atmore, Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama",C,1167926420,5074296,South,East South Central,19578002
23,23,Alabama,"Attalla, Alabama","https://en.wikipedia.org/wiki/Attalla,_Alabama",C,1165507856,5074296,South,East South Central,19578002
24,24,Alabama,"Auburn, Alabama","https://en.wikipedia.org/wiki/Auburn,_Alabama",C,1177335918,5074296,South,East South Central,19578002
25,25,Alabama,"Autaugaville, Alabama","https://en.wikipedia.org/wiki/Autaugaville,_Alabama",C,1166014815,5074296,South,East South Central,19578002
26,26,Alabama,"Avon, Alabama","https://en.wikipedia.org/wiki/Avon,_Alabama",Start,1166014861,5074296,South,East South Central,19578002
27,27,Alabama,"Babbie, Alabama","https://en.wikipedia.org/wiki/Babbie,_Alabama",Start,1168820544,5074296,South,East South Central,19578002
28,28,Alabama,"Baileyton, Alabama","https://en.wikipedia.org/wiki/Baileyton,_Alabama",C,1166014939,5074296,South,East South Central,19578002
29,29,Alabama,"Bakerhill, Alabama","https://en.wikipedia.org/wiki/Bakerhill,_Alabama",Start,1166014954,5074296,South,East South Central,19578002
30,30,Alabama,"Banks, Alabama","https://en.wikipedia.org/wiki/Banks,_Alabama",C,1166014997,5074296,South,East South Central,19578002
31,31,Alabama,"Bay Minette, Alabama","https://en.wikipedia.org/wiki/Bay_Minette,_Alabama",C,1177963600,5074296,South,East South Central,19578002
32,32,Alabama,"Bayou La Batre, Alabama","https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",C,1177999052,5074296,South,East South Central,19578002
33,33,Alabama,"Bear Creek, Alabama","https://en.wikipedia.org/wiki/Bear_Creek,_Alabama",GA,1166015184,5074296,South,East South Central,19578002
34,34,Alabama,"Beatrice, Alabama","https://en.wikipedia.org/wiki/Beatrice,_Alabama",C,1166015214,5074296,South,East South Central,19578002
35,35,Alabama,"Beaverton, Alabama","https://en.wikipedia.org/wiki/Beaverton,_Alabama",Start,1166015251,5074296,South,East South Central,19578002
36,36,Alabama,"Belk, Alabama","https://en.wikipedia.org/wiki/Belk,_Alabama",C,1166015313,5074296,South,East South Central,19578002
37,37,Alabama,"Benton, Alabama","https://en.wikipedia.org/wiki/Benton,_Alabama",C,1166015434,5074296,South,East South Central,19578002
38,38,Alabama,"Berlin, Alabama","https://en.wikipedia.org/wiki/Berlin,_Alabama",Start,1166015476,5074296,South,East South Central,19578002
39,39,Alabama,"Berry, Alabama","https://en.wikipedia.org/wiki/Berry,_Alabama",C,1166015515,5074296,South,East South Central,19578002
40,40,Alabama,"Bessemer, Alabama","https://en.wikipedia.org/wiki/Bessemer,_Alabama",C,1178999596,5074296,South,East South Central,19578002
41,41,Alabama,"Billingsley, Alabama","https://en.wikipedia.org/wiki/Billingsley,_Alabama",Start,1166015695,5074296,South,East South Central,19578002
42,42,Alabama,"Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama",B,1179414429,5074296,South,East South Central,19578002
43,43,Alabama,"Black, Alabama","https://en.wikipedia.org/wiki/Black,_Alabama",Start,1166015772,5074296,South,East South Central,19578002
44,44,Alabama,"Blountsville, Alabama","https://en.wikipedia.org/wiki/Blountsville,_Alabama",GA,1105978061,5074296,South,East South Central,19578002
45,45,Alabama,"Blue Springs, Alabama","https://en.wikipedia.org/wiki/Blue_Springs,_Alabama",Start,1166015902,5074296,South,East South Central,19578002
46,46,Alabama,"Boaz, Alabama","https://en.wikipedia.org/wiki/Boaz,_Alabama",GA,1177138566,5074296,South,East South Central,19578002
47,47,Alabama,"Boligee, Alabama","https://en.wikipedia.org/wiki/Boligee,_Alabama",C,1166015957,5074296,South,East South Central,19578002
48,48,Alabama,"Bon Air, Alabama","https://en.wikipedia.org/wiki/Bon_Air,_Alabama",C,1166015981,5074296,South,East South Central,19578002
49,49,Alabama,"Brantley, Alabama","https://en.wikipedia.org/wiki/Brantley,_Alabama",C,1165814013,5074296,South,East South Central,19578002
50,50,Alabama,"Brent, Alabama","https://en.wikipedia.org/wiki/Brent,_Alabama",GA,1172245542,5074296,South,East South Central,19578002
51,51,Alabama,"Brewton, Alabama","https://en.wikipedia.org/wiki/Brewton,_Alabama",GA,1162427481,5074296,South,East South Central,19578002
52,52,Alabama,"Bridgeport, Alabama","https://en.wikipedia.org/wiki/Bridgeport,_Alabama",GA,1165537046,5074296,South,East South Central,19578002
53,53,Alabama,"Brighton, Alabama","https://en.wikipedia.org/wiki/Brighton,_Alabama",C,1177621572,5074296,South,East South Central,19578002
54,54,Alabama,"Brilliant, Alabama","https://en.wikipedia.org/wiki/Brilliant,_Alabama",GA,1166016323,5074296,South,East South Central,19578002
55,55,Alabama,"Brookside, Alabama","https://en.wikipedia.org/wiki/Brookside,_Alabama",C,1170769013,5074296,South,East South Central,19578002
56,56,Alabama,"Brookwood, Alabama","https://en.wikipedia.org/wiki/Brookwood,_Alabama",C,1178216914,5074296,South,East South Central,19578002
57,57,Alabama,"Brundidge, Alabama","https://en.wikipedia.org/wiki/Brundidge,_Alabama",C,1165537457,5074296,South,East South Central,19578002
58,58,Alabama,"Butler, Alabama","https://en.wikipedia.org/wiki/Butler,_Alabama",C,1144752979,5074296,South,East South Central,19578002
59,59,Alabama,"Calera, Alabama","https://en.wikipedia.org/wiki/Calera,_Alabama",C,1165537934,5074296,South,East South Central,19578002
60,60,Alabama,"Camden, Alabama","https://en.wikipedia.org/wiki/Camden,_Alabama",GA,1176316224,5074296,South,East South Central,19578002
61,61,Alabama,"Camp Hill, Alabama","https://en.wikipedia.org/wiki/Camp_Hill,_Alabama",C,1166017104,5074296,South,East South Central,19578002
62,62,Alabama,"Carbon Hill, Alabama","https://en.wikipedia.org/wiki/Carbon_Hill,_Alabama",C,1175376595,5074296,South,East South Central,19578002
63,63,Alabama,"Cardiff, Alabama","https://en.wikipedia.org/wiki/Cardiff,_Alabama",Start,1166017260,5074296,South,East South Central,19578002
64,64,Alabama,"Carolina, Alabama","https://en.wikipedia.org/wiki/Carolina,_Alabama",Start,1166017310,5074296,South,East South Central,19578002
65,65,Alabama,"Carrollton, Alabama","https://en.wikipedia.org/wiki/Carrollton,_Alabama",C,1096812581,5074296,South,East South Central,19578002
66,66,Alabama,"Castleberry, Alabama","https://en.wikipedia.org/wiki/Castleberry,_Alabama",Start,1166017442,5074296,South,East South Central,19578002
67,67,Alabama,"Cedar Bluff, Alabama","https://en.wikipedia.org/wiki/Cedar_Bluff,_Alabama",C,1177836881,5074296,South,East South Central,19578002
68,68,Alabama,"Center Point, Alabama","https://en.wikipedia.org/wiki/Center_Point,_Alabama",C,1174837569,5074296,South,East South Central,19578002
69,69,Alabama,"Centre, Alabama","https://en.wikipedia.org/wiki/Centre,_Alabama",C,1164314017,5074296,South,East South Central,19578002
70,70,Alabama,"Centreville, Alabama","https://en.wikipedia.org/wiki/Centreville,_Alabama",C,1172134285,5074296,South,East South Central,19578002
71,71,Alabama,"Chatom, Alabama","https://en.wikipedia.org/wiki/Chatom,_Alabama",C,1159488446,5074296,South,East South Central,19578002
72,72,Alabama,"Chelsea, Alabama","https://en.wikipedia.org/wiki/Chelsea,_Alabama",C,1165539092,5074296,South,East South Central,19578002
73,73,Alabama,"Cherokee, Alabama","https://en.wikipedia.org/wiki/Cherokee,_Alabama",C,1166017755,5074296,South,East South Central,19578002
74,74,Alabama,"Chickasaw, Alabama","https://en.wikipedia.org/wiki/Chickasaw,_Alabama",C,1165539195,5074296,South,East South Central,19578002
75,75,Alabama,"Childersburg, Alabama","https://en.wikipedia.org/wiki/Childersburg,_Alabama",GA,1165539227,5074296,South,East South Central,19578002
76,76,Alabama,"Citronelle, Alabama","https://en.wikipedia.org/wiki/Citronelle,_Alabama",C,1165539457,5074296,South,East South Central,19578002
77,77,Alabama,"Clanton, Alabama","https://en.wikipedia.org/wiki/Clanton,_Alabama",GA,1158612343,5074296,South,East South Central,19578002
78,78,Alabama,"Clay, Alabama","https://en.wikipedia.org/wiki/Clay,_Alabama",C,1177621993,5074296,South,East South Central,19578002
79,79,Alabama,"Clayhatchee, Alabama","https://en.wikipedia.org/wiki/Clayhatchee,_Alabama",Start,1166018079,5074296,South,East South Central,19578002
80,80,Alabama,"Clayton, Alabama","https://en.wikipedia.org/wiki/Clayton,_Alabama",C,1155236230,5074296,South,East South Central,19578002
81,81,Alabama,"Cleveland, Alabama","https://en.wikipedia.org/wiki/Cleveland,_Alabama",C,1168466910,5074296,South,East South Central,19578002
82,82,Alabama,"Clio, Alabama","https://en.wikipedia.org/wiki/Clio,_Alabama",Start,1165644511,5074296,South,East South Central,19578002
83,83,Alabama,"Coaling, Alabama","https://en.wikipedia.org/wiki/Coaling,_Alabama",C,1166018304,5074296,South,East South Central,19578002
84,84,Alabama,"Coffee Springs, Alabama","https://en.wikipedia.org/wiki/Coffee_Springs,_Alabama",Start,1166018326,5074296,South,East South Central,19578002
85,85,Alabama,"Coffeeville, Alabama","https://en.wikipedia.org/wiki/Coffeeville,_Alabama",C,1166029689,5074296,South,East South Central,19578002
86,86,Alabama,"Coker, Alabama","https://en.wikipedia.org/wiki/Coker,_Alabama",Start,1166018360,5074296,South,East South Central,19578002
87,87,Alabama,"Collinsville, Alabama","https://en.wikipedia.org/wiki/Collinsville,_Alabama",C,1177947751,5074296,South,East South Central,19578002
88,88,Alabama,"Colony, Alabama","https://en.wikipedia.org/wiki/Colony,_Alabama",GA,1166018463,5074296,South,East South Central,19578002
89,89,Alabama,"Columbia, Alabama","https://en.wikipedia.org/wiki/Columbia,_Alabama",C,1166018475,5074296,South,East South Central,19578002
90,90,Alabama,"Columbiana, Alabama","https://en.wikipedia.org/wiki/Columbiana,_Alabama",C,1151357569,5074296,South,East South Central,19578002
91,91,Alabama,"Coosada, Alabama","https://en.wikipedia.org/wiki/Coosada,_Alabama",C,1172561590,5074296,South,East South Central,19578002
92,92,Alabama,"Cordova, Alabama","https://en.wikipedia.org/wiki/Cordova,_Alabama",GA,1165645181,5074296,South,East South Central,19578002
93,93,Alabama,"Cottonwood, Alabama","https://en.wikipedia.org/wiki/Cottonwood,_Alabama",C,1096812941,5074296,South,East South Central,19578002
94,94,Alabama,"County Line, Alabama","https://en.wikipedia.org/wiki/County_Line,_Alabama",Start,1166018950,5074296,South,East South Central,19578002
95,95,Alabama,"Courtland, Alabama","https://en.wikipedia.org/wiki/Courtland,_Alabama",GA,1157580326,5074296,South,East South Central,19578002
96,96,Alabama,"Cowarts, Alabama","https://en.wikipedia.org/wiki/Cowarts,_Alabama",C,1166019003,5074296,South,East South Central,19578002
97,97,Alabama,"Creola, Alabama","https://en.wikipedia.org/wiki/Creola,_Alabama",GA,1139764613,5074296,South,East South Central,19578002
98,98,Alabama,"Crossville, Alabama","https://en.wikipedia.org/wiki/Crossville,_Alabama",C,1166066155,5074296,South,East South Central,19578002
99,99,Alabama,"Cuba, Alabama","https://en.wikipedia.org/wiki/Cuba,_Alabama",C,1175879685,5074296,South,East South Central,19578002
100,100,Alabama,"Cullman, Alabama","https://en.wikipedia.org/wiki/Cullman,_Alabama",B,1177009324,5074296,South,East South Central,19578002
101,101,Alabama,"Cusseta, Alabama","https://en.wikipedia.org/wiki/Cusseta,_Alabama",Start,1172824345,5074296,South,East South Central,19578002
102,102,Alabama,"Dadeville, Alabama","https://en.wikipedia.org/wiki/Dadeville,_Alabama",C,1158607851,5074296,South,East South Central,19578002
103,103,Alabama,"Daleville, Alabama","https://en.wikipedia.org/wiki/Daleville,_Alabama",GA,1154496305,5074296,South,East South Central,19578002
104,104,Alabama,"Daphne, Alabama","https://en.wikipedia.org/wiki/Daphne,_Alabama",FA,1165646156,5074296,South,East South Central,19578002
105,105,Alabama,"Dauphin Island, Alabama","https://en.wikipedia.org/wiki/Dauphin_Island,_Alabama",B,1174226588,5074296,South,East South Central,19578002
106,106,Alabama,"Daviston, Alabama","https://en.wikipedia.org/wiki/Daviston,_Alabama",C,1166066473,5074296,South,East South Central,19578002
107,107,Alabama,"Dayton, Alabama","https://en.wikipedia.org/wiki/Dayton,_Alabama",C,1166066487,5074296,South,East South Central,19578002
108,108,Alabama,"Deatsville, Alabama","https://en.wikipedia.org/wiki/Deatsville,_Alabama",C,1166066515,5074296,South,East South Central,19578002
